departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
ANTIOQUIA,5,COCORNÁ,5197,Rural,La Mañosa-Ejer,2003,8,Mayor de 18 años,no,Civil,Hombre,Herido,6.058001,-75.185085,Sin informacion,"(6.058001, -75.185085)",Sin Información
ANTIOQUIA,5,SAN CARLOS,5649,Rural,Cuchilla Santa Bárbara,2004,12,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.187566,-74.993636,Sin informacion,"(6.187566, -74.993636)",Fuerza pública
ANTIOQUIA,5,DABEIBA,5234,Rural,Urama Grande,2007,5,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.035556,-76.125556,Sin informacion,"(7.035556, -76.125556)",Fuerza pública
ANTIOQUIA,5,CAÑASGORDAS,5138,Rural,Vereda La Loma,1995,6,Mayor de 18 años,no,Civil,Mujer,Herido,6.751363,-76.025341,Sin informacion,"(6.751363, -76.025341)",Sin Información
ANTIOQUIA,5,CAÑASGORDAS,5138,Rural,Vereda La Loma,1995,6,Menor de 18 años,no,Civil,Mujer,Muerto,6.751363,-76.025341,Sin informacion,"(6.751363, -76.025341)",Jugando
ANTIOQUIA,5,CAÑASGORDAS,5138,Rural,Vereda La Loma,1995,6,Menor de 18 años,no,Civil,Hombre,Herido,6.751363,-76.025341,Sin informacion,"(6.751363, -76.025341)",Sin Información
ANTIOQUIA,5,CAÑASGORDAS,5138,Rural,Vereda La Loma,1995,6,Mayor de 18 años,no,Civil,Hombre,Muerto,6.751363,-76.025341,Sin informacion,"(6.751363, -76.025341)",Sin Información
ANTIOQUIA,5,VALDIVIA,5854,Rural,Alto Las Torres,2006,5,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.404167,-75.248333,Sin informacion,"(7.404167, -75.248333)",Fuerza pública
ANTIOQUIA,5,GUADALUPE,5315,Rural,El Cañón - Juan Pablo,2002,9,Mayor de 18 años,no,Civil,Hombre,Herido,6.814091,-75.240283,Sin informacion,"(6.814091, -75.240283)",Sin Información
ANTIOQUIA,5,DABEIBA,5234,Rural,Tres Morros,2007,8,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.125,-76.1525,Sin informacion,"(7.125, -76.1525)",Fuerza pública
ANTIOQUIA,5,SAN ROQUE,5670,Rural,Vereda El Paramo,2003,4,Mayor de 18 años,no,Civil,Hombre,Herido,6.484969,-75.019268,Sin informacion,"(6.484969, -75.019268)",Sin Información
ANTIOQUIA,5,CAÑASGORDAS,5138,Rural,Vereda Membrillal,2006,5,Menor de 18 años,no,Civil,Hombre,Herido,6.751363,-76.025341,Sin informacion,"(6.751363, -76.025341)",Manipulación
ANTIOQUIA,5,CAÑASGORDAS,5138,Rural,Vereda Membrillal,2006,5,Menor de 18 años,no,Civil,Mujer,Muerto,6.751363,-76.025341,Sin informacion,"(6.751363, -76.025341)",Manipulación
ANTIOQUIA,5,CAÑASGORDAS,5138,Rural,Vereda Membrillal,2006,5,Menor de 18 años,no,Civil,Hombre,Muerto,6.751363,-76.025341,Sin informacion,"(6.751363, -76.025341)",Manipulación
ANTIOQUIA,5,CAÑASGORDAS,5138,Rural,Vereda Membrillal,2006,5,Menor de 18 años,no,Civil,Hombre,Muerto,6.751363,-76.025341,Sin informacion,"(6.751363, -76.025341)",Manipulación
ANTIOQUIA,5,ANGOSTURA,5038,Rural,Vereda La Muñoz,2004,3,Menor de 18 años,no,Civil,Mujer,Herido,6.885866,-75.335458,Sin informacion,"(6.885866, -75.335458)",Sin Información
